timestamp,team,ltp,delta,rolling_avg,volatility,signal,prediction
1735696963699,Wellington Firebirds,1.84,-0.06,1.84,0.039,,DOWN
1735697174424,Wellington Firebirds,1.81,-0.03,1.832,0.041,,UP
1735697295718,Wellington Firebirds,1.84,0.03,1.84,0.037,,DOWN
1735697563654,Northern Brave,2.18,0.02,2.176,0.043,,DOWN
1735697683161,Wellington Firebirds,1.86,0.02,1.85,0.033,,DOWN
1735697702183,Wellington Firebirds,1.85,-0.01,1.84,0.019,,DOWN
1735697853749,Northern Brave,2.16,-0.02,2.172,0.044,,UP
1735697853749,Wellington Firebirds,1.86,0.01,1.844,0.021,,DOWN
1735697914696,Northern Brave,2.18,0.02,2.16,0.024,,DOWN
1735697914696,Wellington Firebirds,1.81,-0.05,1.844,0.021,,UP
1735698508491,Northern Brave,2.2,0.02,2.176,0.017,,DOWN
1735698508491,Wellington Firebirds,1.83,0.02,1.842,0.022,,UP
1735699118387,Northern Brave,2.16,-0.04,2.176,0.017,,UP
1735699118387,Wellington Firebirds,1.86,0.03,1.842,0.022,,DOWN
1735699156808,Wellington Firebirds,1.85,-0.01,1.842,0.022,,DOWN
1735699300868,Wellington Firebirds,1.81,-0.04,1.832,0.023,,UP
1735699357186,Wellington Firebirds,1.85,0.04,1.84,0.02,,DOWN
1735699425895,Northern Brave,2.2,0.04,2.18,0.02,,DOWN
1735699425895,Wellington Firebirds,1.83,-0.02,1.84,0.02,,UP
1735699480837,Northern Brave,2.18,-0.02,2.184,0.017,,UP
1735699480837,Wellington Firebirds,1.85,0.02,1.838,0.018,,DOWN
1735699660087,Wellington Firebirds,1.82,-0.03,1.832,0.018,,UP
1735699783901,Northern Brave,2.2,0.02,2.188,0.018,,DOWN
1735699783901,Wellington Firebirds,1.85,0.03,1.84,0.014,,DOWN
1735699847156,Northern Brave,2.18,-0.02,2.184,0.017,,UP
1735700025618,Wellington Firebirds,1.84,-0.01,1.838,0.013,,DOWN
1735700146319,Wellington Firebirds,1.88,0.04,1.848,0.022,,DOWN
1735700206683,Wellington Firebirds,1.86,-0.02,1.85,0.022,,DOWN
1735700256126,Northern Brave,2.04,-0.14,2.16,0.068,,UP
1735700256126,Wellington Firebirds,1.89,0.03,1.864,0.021,,DOWN
1735700325462,Wellington Firebirds,1.96,0.07,1.886,0.046,,DOWN
1735700446920,Northern Brave,1.97,-0.07,2.114,0.103,,UP
1735700489552,Northern Brave,2.06,0.09,2.09,0.097,,UP
1735700489552,Wellington Firebirds,1.94,-0.02,1.906,0.042,,DOWN
1735700608246,Northern Brave,2.04,-0.02,2.058,0.076,,UP
1735700608246,Wellington Firebirds,1.96,0.02,1.922,0.045,,DOWN
1735700687020,Northern Brave,2.06,0.02,2.034,0.037,,DOWN
1735700744065,Wellington Firebirds,1.94,-0.02,1.938,0.029,,DOWN
1735700805441,Northern Brave,2.04,-0.02,2.034,0.037,,DOWN
1735700805441,Wellington Firebirds,1.96,0.02,1.952,0.011,,DOWN
1735700926116,Northern Brave,1.92,-0.12,2.024,0.059,,UP
1735700926116,Wellington Firebirds,2.08,0.12,1.976,0.059,,DOWN
1735700986967,Northern Brave,1.82,-0.1,1.976,0.103,SPIKE,UP
1735700986967,Wellington Firebirds,2.2,0.12,2.028,0.111,SPIKE,DOWN
1735701047050,Northern Brave,1.84,0.02,1.936,0.111,SPIKE,UP
1735701106756,Wellington Firebirds,2.18,-0.02,2.072,0.12,SPIKE,DOWN
1735701167116,Northern Brave,1.88,0.04,1.9,0.087,,UP
1735701167116,Wellington Firebirds,2.16,-0.02,2.116,0.098,SPIKE,DOWN
1735701225259,Northern Brave,1.86,-0.02,1.864,0.038,,UP
1735701225259,Wellington Firebirds,2.12,-0.04,2.148,0.048,,UP
1735701285044,Northern Brave,1.87,0.01,1.854,0.024,,DOWN
1735701285044,Wellington Firebirds,2.16,0.04,2.164,0.03,,UP
1735701347027,Northern Brave,1.82,-0.05,1.854,0.024,,UP
1735701347027,Wellington Firebirds,2.2,0.04,2.164,0.03,,DOWN
1735701406282,Northern Brave,1.83,0.01,1.852,0.026,,UP
1735701467104,Northern Brave,1.8,-0.03,1.836,0.029,,UP
1735701526156,Northern Brave,1.82,0.02,1.828,0.026,,UP
1735701586569,Wellington Firebirds,2.22,0.02,2.172,0.039,,DOWN
1735701647094,Northern Brave,1.83,0.01,1.82,0.012,,DOWN
1735701647094,Wellington Firebirds,2.2,-0.02,2.18,0.04,,DOWN
1735701707057,Northern Brave,1.74,-0.09,1.804,0.038,,UP
1735701707057,Wellington Firebirds,2.34,0.14,2.224,0.068,,DOWN
1735701766499,Northern Brave,1.76,0.02,1.79,0.039,,UP
1735701766499,Wellington Firebirds,2.3,-0.04,2.252,0.064,,DOWN
1735701826155,Northern Brave,1.79,0.03,1.788,0.038,,DOWN
1735701826155,Wellington Firebirds,2.24,-0.06,2.26,0.058,,UP
1735701886823,Northern Brave,1.8,0.01,1.784,0.035,,DOWN
1735701946875,Northern Brave,1.74,-0.06,1.766,0.028,,UP
1735701946875,Wellington Firebirds,2.32,0.08,2.28,0.058,,DOWN
1735702007056,Northern Brave,1.86,0.12,1.79,0.046,,DOWN
1735702007056,Wellington Firebirds,2.2,-0.12,2.28,0.058,,UP
1735702067119,Northern Brave,1.75,-0.11,1.788,0.048,,UP
1735702067119,Wellington Firebirds,2.32,0.12,2.276,0.054,,DOWN
1735702126865,Northern Brave,1.8,0.05,1.79,0.048,,DOWN
1735702126865,Wellington Firebirds,2.26,-0.06,2.268,0.052,,UP
1735702187142,Northern Brave,1.77,-0.03,1.784,0.048,,UP
1735702187142,Wellington Firebirds,2.28,0.02,2.276,0.05,,DOWN
1735702246980,Northern Brave,1.63,-0.14,1.762,0.085,SPIKE,UP
1735702246980,Wellington Firebirds,2.58,0.3,2.328,0.147,SPIKE,DOWN
1735702307134,Northern Brave,1.52,-0.11,1.694,0.117,SPIKE,UP
1735702307134,Wellington Firebirds,2.94,0.36,2.476,0.29,SPIKE,DOWN
1735702367071,Northern Brave,1.47,-0.05,1.638,0.147,SPIKE,UP
1735702367071,Wellington Firebirds,3.1,0.16,2.632,0.38,SPIKE,DOWN
1735702426918,Northern Brave,1.52,0.05,1.582,0.12,SPIKE,UP
1735702426918,Wellington Firebirds,2.92,-0.18,2.764,0.33,SPIKE,DOWN
1735702487108,Northern Brave,1.53,0.01,1.534,0.059,,UP
1735702487108,Wellington Firebirds,2.88,-0.04,2.884,0.189,SPIKE,UP
1735702547130,Northern Brave,1.56,0.03,1.52,0.032,,DOWN
1735702547130,Wellington Firebirds,2.78,-0.1,2.924,0.116,,UP
1735702606921,Northern Brave,1.53,-0.03,1.522,0.033,,DOWN
1735702606921,Wellington Firebirds,2.88,0.1,2.912,0.117,,UP
1735702666990,Northern Brave,1.51,-0.02,1.53,0.019,,UP
1735702666990,Wellington Firebirds,2.96,0.08,2.884,0.067,,DOWN
1735702727148,Northern Brave,1.59,0.08,1.544,0.031,,DOWN
1735702727148,Wellington Firebirds,2.68,-0.28,2.836,0.108,,UP
1735702787025,Northern Brave,1.55,-0.04,1.548,0.03,,DOWN
1735702787025,Wellington Firebirds,2.8,0.12,2.82,0.106,,UP
1735702846370,Wellington Firebirds,2.78,-0.02,2.82,0.106,,UP
1735702907103,Northern Brave,1.58,0.03,1.552,0.033,,DOWN
1735702907103,Wellington Firebirds,2.8,0.02,2.804,0.1,,UP
1735702967000,Wellington Firebirds,2.68,-0.12,2.748,0.063,,UP
1735703086936,Northern Brave,1.59,0.01,1.564,0.034,,DOWN
1735703146995,Northern Brave,1.58,-0.01,1.578,0.016,,DOWN
1735703146995,Wellington Firebirds,2.72,0.04,2.756,0.054,,UP
1735703207155,Northern Brave,1.63,0.05,1.586,0.029,,DOWN
1735703207155,Wellington Firebirds,2.56,-0.16,2.708,0.095,,UP
1735703267153,Northern Brave,1.73,0.1,1.622,0.064,,DOWN
1735703267153,Wellington Firebirds,2.34,-0.22,2.62,0.179,SPIKE,UP
1735703327118,Wellington Firebirds,2.38,0.04,2.536,0.172,SPIKE,UP
1735703386943,Northern Brave,1.78,0.05,1.662,0.089,SPIKE,DOWN
1735703386943,Wellington Firebirds,2.28,-0.1,2.456,0.181,SPIKE,UP
1735703446851,Northern Brave,1.77,-0.01,1.698,0.089,SPIKE,DOWN
1735703507110,Wellington Firebirds,2.3,0.02,2.372,0.112,SPIKE,UP
1735703566983,Northern Brave,1.9,0.13,1.762,0.097,SPIKE,DOWN
1735703566983,Wellington Firebirds,2.1,-0.2,2.28,0.108,SPIKE,UP
1735703626821,Northern Brave,1.64,-0.26,1.764,0.094,,UP
1735703626821,Wellington Firebirds,2.56,0.46,2.324,0.167,,DOWN
1735703687103,Northern Brave,1.55,-0.09,1.728,0.136,SPIKE,UP
