timestamp,team,ltp,delta,rolling_avg,volatility,signal,prediction
1735709627125,Wellington Firebirds,13.5,1.0,14.4,1.949,SPIKE,UP
1735709687065,Northern Brave,1.08,0.01,1.078,0.008,,DOWN
1735709687065,Wellington Firebirds,13.0,-0.5,13.5,0.935,,UP
1735709746496,Wellington Firebirds,13.5,0.5,13.5,0.935,,DOWN
1735709806977,Northern Brave,1.14,0.06,1.09,0.029,,DOWN
1735709806977,Wellington Firebirds,8.0,-5.5,12.1,2.329,SPIKE,UP
1735709926962,Northern Brave,1.15,0.01,1.106,0.036,,DOWN
1735709926962,Wellington Firebirds,7.8,-0.2,11.16,2.984,SPIKE,UP
1735709987137,Northern Brave,1.13,-0.02,1.114,0.036,,DOWN
1735709987137,Wellington Firebirds,8.6,0.8,10.18,2.823,SPIKE,UP
1735710047109,Northern Brave,1.11,-0.02,1.122,0.028,,UP
1735710047109,Wellington Firebirds,9.2,0.6,9.42,2.346,SPIKE,UP
1735710107075,Northern Brave,1.12,0.01,1.13,0.016,,UP
1735710107075,Wellington Firebirds,8.6,-0.6,8.44,0.555,,DOWN
1735710167123,Northern Brave,1.13,0.01,1.128,0.015,,DOWN
1735710167123,Wellington Firebirds,8.0,-0.6,8.44,0.555,,UP
1735710287039,Northern Brave,1.1,-0.03,1.118,0.013,,UP
1735710287039,Wellington Firebirds,11.0,3.0,9.08,1.154,SPIKE,DOWN
1735710347107,Northern Brave,1.18,0.08,1.128,0.031,,DOWN
1735710347107,Wellington Firebirds,6.6,-4.4,8.68,1.616,SPIKE,UP
1735710407048,Wellington Firebirds,6.8,0.2,8.2,1.772,SPIKE,UP
1735710467024,Wellington Firebirds,6.6,-0.2,7.8,1.881,SPIKE,UP
1735710527093,Northern Brave,1.11,-0.07,1.128,0.031,,UP
1735710527093,Wellington Firebirds,11.0,4.4,8.4,2.375,,DOWN
1735710587073,Northern Brave,1.14,0.03,1.132,0.031,,DOWN
1735710587073,Wellington Firebirds,8.0,-3.0,7.8,1.881,SPIKE,DOWN
1735710647023,Northern Brave,1.13,-0.01,1.132,0.031,,UP
1735710647023,Wellington Firebirds,8.6,0.6,8.2,1.772,SPIKE,DOWN
1735710707087,Northern Brave,1.11,-0.02,1.134,0.029,,UP
1735710707087,Wellington Firebirds,10.0,1.4,8.84,1.717,SPIKE,DOWN
1735710826214,Northern Brave,1.13,0.02,1.124,0.013,,DOWN
1735710826214,Wellington Firebirds,8.6,-1.4,9.24,1.228,SPIKE,UP
1735710887100,Northern Brave,1.11,-0.02,1.124,0.013,,UP
1735710887100,Wellington Firebirds,10.0,1.4,9.04,0.91,SPIKE,DOWN
1735710947061,Wellington Firebirds,9.2,-0.8,9.28,0.701,,UP
1735711007148,Northern Brave,1.1,-0.01,1.116,0.013,,UP
1735711007148,Wellington Firebirds,11.0,1.8,9.76,0.91,,DOWN
1735711066672,Northern Brave,1.11,0.01,1.112,0.011,,UP
1735711066672,Wellington Firebirds,9.2,-1.8,9.6,0.927,,UP
1735711127137,Wellington Firebirds,10.0,0.8,9.88,0.743,,DOWN
1735711187001,Northern Brave,1.06,-0.05,1.102,0.026,,UP
1735711187001,Wellington Firebirds,15.0,5.0,10.88,2.419,SPIKE,DOWN
1735711247094,Northern Brave,1.04,-0.02,1.084,0.032,,UP
1735711247094,Wellington Firebirds,26.0,11.0,14.24,6.942,SPIKE,DOWN
1735711307121,Northern Brave,1.05,0.01,1.072,0.031,,UP
1735711307121,Wellington Firebirds,21.0,-5.0,16.24,7.21,SPIKE,DOWN
1735711367106,Northern Brave,1.12,0.07,1.076,0.036,,DOWN
1735711367106,Wellington Firebirds,10.5,-10.5,16.5,6.91,,UP
1735711426959,Northern Brave,1.1,-0.02,1.074,0.034,,DOWN
1735711426959,Wellington Firebirds,10.0,-0.5,16.5,6.91,SPIKE,UP
1735711486918,Northern Brave,1.11,0.01,1.084,0.036,,DOWN
1735711547073,Northern Brave,1.13,0.02,1.102,0.031,,DOWN
1735711547073,Wellington Firebirds,8.6,-1.4,15.22,7.794,SPIKE,UP
1735711667119,Northern Brave,1.14,0.01,1.12,0.016,,DOWN
1735711667119,Wellington Firebirds,8.0,-0.6,11.62,5.341,SPIKE,UP
1735711727155,Northern Brave,1.13,-0.01,1.122,0.016,,DOWN
1735711727155,Wellington Firebirds,8.6,0.6,9.14,1.057,SPIKE,UP
1735711787142,Northern Brave,1.17,0.04,1.136,0.022,,DOWN
1735711787142,Wellington Firebirds,6.6,-2.0,8.36,1.228,SPIKE,UP
1735711846968,Northern Brave,1.15,-0.02,1.144,0.017,,DOWN
1735711846968,Wellington Firebirds,7.6,1.0,7.88,0.832,SPIKE,UP
1735711907033,Northern Brave,1.1,-0.05,1.138,0.026,,UP
1735711907033,Wellington Firebirds,11.0,3.4,8.36,1.646,SPIKE,DOWN
1735711966878,Northern Brave,1.11,0.01,1.132,0.029,,UP
1735711966878,Wellington Firebirds,10.0,-1.0,8.76,1.774,SPIKE,DOWN
1735712027144,Wellington Firebirds,9.2,-0.8,8.88,1.781,SPIKE,DOWN
1735712087144,Wellington Firebirds,10.0,0.8,9.56,1.268,SPIKE,DOWN
1735712146961,Northern Brave,1.13,0.02,1.132,0.029,,UP
1735712146961,Wellington Firebirds,8.0,-2.0,9.64,1.117,SPIKE,UP
1735712207101,Northern Brave,1.06,-0.07,1.11,0.034,,UP
1735712207101,Wellington Firebirds,17.5,9.5,10.94,3.757,SPIKE,DOWN
1735712266986,Wellington Firebirds,21.0,3.5,13.14,5.757,SPIKE,DOWN
1735712327066,Wellington Firebirds,18.0,-3.0,14.9,5.595,SPIKE,DOWN
1735712387025,Northern Brave,1.07,0.01,1.094,0.029,,UP
1735712387025,Wellington Firebirds,15.0,-3.0,15.9,4.904,SPIKE,UP
1735712447096,Wellington Firebirds,13.5,-1.5,17.0,2.894,SPIKE,UP
1735712507032,Northern Brave,1.1,0.03,1.094,0.029,,DOWN
1735712507032,Wellington Firebirds,11.0,-2.5,15.7,3.899,SPIKE,UP
1735712566916,Northern Brave,1.11,0.01,1.094,0.029,,DOWN
1735712566916,Wellington Firebirds,9.4,-1.6,13.38,3.372,SPIKE,UP
1735712626979,Northern Brave,1.1,-0.01,1.088,0.022,,DOWN
1735712626979,Wellington Firebirds,10.0,0.6,11.78,2.386,SPIKE,UP
1735712687034,Northern Brave,1.14,0.04,1.104,0.025,,DOWN
1735712687034,Wellington Firebirds,8.6,-1.4,10.5,1.892,SPIKE,UP
1735712747087,Northern Brave,1.15,0.01,1.12,0.023,,DOWN
1735712747087,Wellington Firebirds,7.6,-1.0,9.32,1.301,SPIKE,UP
1735712807152,Northern Brave,1.06,-0.09,1.112,0.036,,UP
1735712807152,Wellington Firebirds,17.5,9.9,10.62,3.95,SPIKE,DOWN
1735712867114,Northern Brave,1.01,-0.05,1.092,0.058,,UP
1735712867114,Wellington Firebirds,140.0,122.5,36.74,57.855,SPIKE,DOWN
1735712927135,Wellington Firebirds,210.0,70.0,76.74,93.13,SPIKE,DOWN
1735712987139,Wellington Firebirds,160.0,-50.0,107.02,89.997,SPIKE,DOWN
1735713045460,Wellington Firebirds,140.0,-20.0,133.5,70.878,SPIKE,DOWN
1735713107133,Wellington Firebirds,640.0,500.0,258.0,215.453,SPIKE,DOWN
1735713223340,Wellington Firebirds,1000.0,360.0,430.0,378.946,SPIKE,DOWN
